"AUTEURSENAUTEURSFUNCTIES","DOCUMENTCODE","DRUK","EMBARGODATUM","ISBN13EAN","ISBNFOLIOBK","JAARVANUITGAVE","MEDIAPRODUCTFAMILY","NAAMVANUITGEVER","NUMMER","OMVANG","ONDERTITEL","PLAATSVANUITGAVE","PRIJS","PRODUCTSTATUS","PRODUCTTEKST","RUBRIEKCODE","RUBRIEKSOMSCHRIJVING","RUBRIEKSOMSCHRIJVING2","RUBRIEKSOMSCHRIJVING3","SAMENVATTINGABSTRACT","SERIENRCQREEKSNR","SERIETITELCQREEKSTITEL","TITEL","VERSCHIJNINGSDATUM","WIJZIGINGSDATUM","WIJZIGINGSSTATUS"
"Drongelen, J. van|Fase, W.J.P.M.|Jellinghaus, S.F.H.","gereed","6","","9789462511354","9789462511354","2017","","Paris","","298","Bijzondere bedingen, Aansprakelijkheid, Gelijke behandeling, Overgang van de onderneming","Zutphen","35.78","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Dit boek is het tweede deel van een drieluik, waarin alle facetten van de individuele arbeidsverhouding worden behandeld. Het is daarmee een van de meest uitgebreide uitgaven op dit gebied in de Nederlandse rechtsliteratuur. In Individueel Arbeidsrecht Deel 2 komen de bijzondere bedingen, de aansprakelijkheid van de werkgever in verband met arbeidsongevallen en beroepsziekten, de werknemersaansprakelijkheid voor door hem aan de werkgever of een derde toegebrachte schade, de gelijke behandelingsaspecten en de overgang van een onderneming aan de orde. Veel aandacht is geschonken aan parlementaire stukken, literatuur en rechtspraak, zodat de uitgave naast een leerboek ook een zeer nuttig naslagwerk is voor de praktijk. Mr. dr. J. van Drongelen: universitair hoofddocent Vakgroep Sociaal Recht en Sociale Politiek van de Universiteit van Tilburg. Mr. dr. S.F.H. Jellinghaus: advocaat en nmi mediator bij De Voort Advocaten/mediators te Tilburg en universitair docent Vakgroep Sociaal Recht en Sociale Politiek.van de Universiteit van Tilburg.","2","Individueel arbeidsrecht","Individueel Arbeidsrecht Deel 2","11-07-2017","24-12-2020","Gewijzigd"
"Drongelen, J. van|Fase, W.J.P.M.|Jellinghaus, S.F.H.","gereed","7","","9789462511361","9789462511361","2017","","Paris","","378","Ontslagrecht","Zutphen","40.70","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Dit boek is het derde deel van een drieluik waarin alle facetten van de individuele arbeidsverhouding worden behandeld. Het is daarmee een van de meest uitgebreide uitgaven op dit gebied in de Nederlandse rechtsliteratuur. In Individueel arbeidsrecht Deel 3 komt het ontslagrecht aan de orde. Het ontslagrecht is met ingang van 1 juli 2015 door de Wet werk en zekerheid ingrijpend gewijzigd. Deze wet en de daarop berustende nadere voorschriften worden in dit boek uitgebreid behandeld en waar nodig van commentaar voorzien. Aan bod komen allereerst de beëindiging met wederzijds goedvinden (beëindigingsovereenkomst) en van rechtswege. Vervolgens worden de ontslaggronden, de beëindiging door opzegging al dan niet met toestemming van het UWV of cao-ontslagcommissie, de beëindiging door onverwijlde opzegging wegens dringende reden (het ontslag op staande voet) en de opzeg-/beëindigingsverboden behandeld. Daarna komen de ontbinding door de kantonrechter, het herstel van de arbeidsovereenkomst en de vergoedingen in samenhang met het ontslag aan de orde. Het ontslagrecht wordt afgesloten door procedurele aspecten (verzoekschrift, hoger beroep en cassatie). Als laatste wordt het getuigschrift behandeld. Veel aandacht is geschonken aan parlementaire stukken, literatuur en rechtspraak, zodat de uitgave naast een leerboek ook een zeer nuttig naslagwerk is voor de praktijk. Mr. dr. J. van Drongelen: universitair hoofddocent Vakgroep Sociaal Recht en Sociale Politiek van de Universiteit van Tilburg. Mr. dr. S.F.H. Jellinghaus: advocaat en nmi mediator bij De Voort Advocaten | Mediators in Tilburg en universitair docent Vakgroep Sociaal Recht en Sociale Politiek van de Universiteit van Tilburg.","3","Individueel arbeidsrecht","Individueel Arbeidsrecht Deel 3","29-06-2017","24-12-2020","Gewijzigd"
"Scholten, A.A.","gereed","","","9789462511460","9789462511460","2017","","Paris","","192","","Zutphen","30.73","Final","","820","Recht algemeen","","","Deel 10 van de Financieel Juridische Reeks gaat over de juridische aspecten van contant geld. Met de introductie van de euro is Europese wet- en regelgeving een grote rol gaan spelen, een rol die tot nu toe weinig aandacht heeft gekregen. De verschuiving van contant naar elektronisch betalen roept nieuwe vragen op over de positie van contant geld als wettig betaalmiddel. Beide aspecten krijgen veel aandacht in dit boek. De auteur volgt in zijn boek de kringloop van contant geld: van de uitgifte van bankbiljetten en munten door de officiële autoriteiten tot het gebruik van contant geld als betaalmiddel, eventuele vernietiging en nieuwe ontwerpen. Bijzondere onderwerpen zoals valsemunterij en 'nepgeld' komen uitgebreid aan bod. Dit boek is een aanrader voor eenieder die beroepshalve of uit nieuwsgierigheid belangstelling heeft voor de juridische positie van contant geld Mr. drs. A.A. Scholten is sinds 1980 werkzaam bij De Nederlandsche Bank (DNB), waar hij een groot aantal functies heeft vervuld. Enige jaren was hij gedetacheerd bij het Internationaal Monetair Fonds in Washington D.C. en bij de Europese Centrale Bank (ECB). Sinds 1997 is hij betrokken bij de ontwikkeling van het beleid van DNB ten aanzien van bankbiljetten en munten. Hij vervulde een centrale rol bij de introductie van de contante euro in 2002 en was vele jaren namens DNB lid van het Banknote Committee van de ECB, waar besluitvorming door de ECB Governing Council op het terrein van contant geld wordt voorbereid. Door zijn ervaring is Bram Scholten in een unieke positie om inzicht te geven in de juridische aspecten van contant geld.","10","Financieel Juridische Reeks","Juridische aspecten van contant geld","25-10-2017","24-12-2020","Gewijzigd"
"Gronden, J.W. van de ","gereed","","","9789462511392","9789462511392","2017","","Paris","","485","","Zutphen","50.92","Final","","828","Internationaal (publiek)recht","","","Het mededingingsrecht behoort tot de kern van het beleid van de Europese Unie. Europese integratie is voor een groot gedeelte marktintegratie. Rivaliteit tussen onderneming in de Europese arena moet leiden tot meer consumentenwelvaart op de interne markt van de EU. De toepassing en handhaving van het EU-mededingingsrecht zijn krachtig ter hand genomen door de Europese Commissie in de loop van de jaren. Toch staan de Europese regels voor de concurrentie niet op zichzelf. Ook de lidstaten hebben mededingingswetgeving aangenomen. Nationale mededingingsautoriteiten hebben aansluiting gevonden bij de kopgroep van de Commissie. In Nederland geldt de Mededingingswet, die naar Europees model is vormgegeven en door de ACM wordt gehandhaafd. Het Europees en Nederlands mededingingsrecht is sterk vervlochten met elkaar. Dit recht kan alleen beoefend worden door zowel kennis te nemen van de Europese als nationale dimensie ervan. In dit boek worden daarom beide dimensies belicht en onderworpen aan een analyse. Belangrijke concepten, begrippen en regels worden uitgelegd en verdiept. Het boek kan daarom gebruikt worden voor een gevorderd bachelor- of mastervak. Prof. mr. J.W. van de Gronden is hoogleraar Europees recht aan de Radboud Universiteit Nijmegen. Daarnaast is hij staatsraad i.b.d. bij de Afdeling Bestuursrechtspraak van de Raad van State.","","","Mededingingsrecht in de EU en Nederland","08-08-2017","24-12-2020","Gewijzigd"
"Dijk, A.A. van","gereed","","","9789462511422","9789462511422","2017","","Paris","","557","Een analyse van doodslag in het verkeer","Zutphen","50.92","Final","","824","Strafrecht en strafprocesrecht","","","In dit boek wordt het fenomeen (poging tot) doodslag in het verkeer vanuit verschillende perspectieven geanalyseerd. Het boek bevat om te beginnen een traditionele juridische analyse van de rechtspraak ten aanzien van (poging tot) doodslag in het verkeer en een aantal voor dit thema relevante leerstukken. Het boek bevat daarnaast een psychologische component. De auteur introduceert een rationele keuzetheorie, waarin cognities, volities en kansen psychisch geïntegreerd worden om de actor in de gelegenheid te stellen te kiezen voor de optie die de wenselijkheid maximaliseert. Ten slotte is een deel van het boek gewijd aan een kritische evaluatie van de feitenrechtspraak. De auteur benadert de rechtspraak met minder distantie dan gebruikelijk is in de rechtswetenschap en neemt in wezen plaats op de stoel van de rechter.","","","Opzet, kans en keuzes","02-10-2017","24-12-2020","Gewijzigd"
"Lodder, A.R.","gereed","","","9789462511408","9789462511408","2017","","Paris","","188","48 nieuwe verhalen over recht en onrecht op Facebook, YouTube, Marktplaats, Twitter, The Pirate Bay en andere plekken","Zutphen","22.02","Final","","820","Recht algemeen","","","Toegang tot het internet was twintig jaar geleden voorbehouden aan een nog kleine groep die via een modem inbelde. Inmiddels staan wij en onze omgeving continu in contact met het internet. Televisie is goeddeels vervangen door on demand streamingdiensten als Netflix, muziek luisteren we via YouTube en Spotify, tekstberichten versturen we via WhatsApp, Snapchat, enzovoort. Het internet is een kritische infrastructuur en tegelijkertijd zeer kwetsbaar voor aanvallen van criminelen en overheden. Onveranderd is dat er op het internet grenzen zijn: niet alles kan gezegd, gedeeld of aangeboden worden. De grenzen zijn niet altijd bekend of duidelijk. In 48 verhalen worden verschillende onderwerpen zoals privacy, auteursrecht en strafrecht behandeld. Iedereen zal na het lezen van deze veelal vermakelijke verhalen inzien dat internetrecht bestaat en inzicht hebben in wat recht en onrecht op internet is. Arno R. Lodder is hoogleraar internet governance and regulation aan de Vrije Universiteit in Amsterdam en Of Counsel bij SOLV advocaten. In zijn onderzoek en onderwijs richt hij zich op onderwerpen op het snijvlak van recht en internet, zoals privacy, security, vrijheid van meningsuiting, cybercrime alsmede verschijnselen als big data, profilering en het internet van dingen.","","","Over de grenzen van het internet II","28-08-2017","24-12-2020","Gewijzigd"
"Broekveldt, L.P.","gereed","","","9789462511255","9789462511255","2017","","Paris","","89","","Zutphen","25.69","Final","","822","Privaatrecht","","","In deze monografie wordt een onderscheid gemaakt tussen eigenlijke en oneigenlijke – ook wel aangeduid als zuivere en onzuivere – conservatoire vreemdelingenbeslagen. In art. 767 Rv is het eigenlijke (conservatoir) vreemdelingenbeslag vormgegeven, in zijn functie van rechtsmachtscheppend beslag en komt het louter in de conservatoire vorm voor. Beslissend is of de schuldenaar, die als regel een ‘vreemdeling’ zal zijn, over hier te lande voor beslag vatbare vermogensbestanddelen beschikt. In een zodanig geval, dat zich niet heel regelmatig voordoet (maar tegenwoordig wel vaker), zal een Nederlandse of een buitenlandse schuldeiser bij de Nederlandse rechter een executoriale titel tegen die ‘vreemdeling’ kunnen verkrijgen. In de meeste gevallen zal het daarbij gaan om betaling van een geldsom, maar het panorama is daartoe niet beperkt (vgl. art. 765 Rv). Zo is het bijvoorbeeld ook mogelijk dat een vreemdelingenbeslag wordt gelegd tot levering van een goed op naam, zoals een onroerende zaak. Echter, indien de schuldeiser op grond van een forumkeuzebeding of een bevoegdheidsverdrag in een ander land moet procederen, dan zal het van de aanwezigheid van internationale executieverdragen afhangen of die schuldeiser daarna dat vreemde vonnis in Nederland ten uitvoer kan leggen. Ook in dat processuele kader zal er een conservatoir beslag op de activa van de schuldenaar kunnen worden gelegd, maar dan is géén sprake van een zuiver conservatoir vreemdelingenbeslag, maar juist van de onzuivere variant ervan. Deze verschillende mogelijkheden, waaronder met name ook die ex art. 431 lid 2 Rv – ingevolge waarvan op grond van het buitenlandse vonnis het geding opnieuw bij de Nederlandse rechter aanhangig kan worden gemaakt –, zullen alle in deze monografie de revue passeren. Een aantal recente arresten van de Hoge Raad kon hierbij de nodige steun en inspiratie bieden, ook omdat het hier gaat om een niet al te toegankelijk rechtsgebied dat in de gangbare literatuur over het beslag- en procesrecht niet ruim aandacht heeft gekregen.","","","Over eigenlijke en oneigenlijke conservatoire vreemdelingenbeslagen","07-03-2017","24-12-2020","Gewijzigd"
"Tigelaar, L.B.A.","gereed","","","9789462511323","9789462511323","2017","","Paris","","266","","Zutphen","54.13","Final","","820","Recht algemeen","","","Verschillende Europese richtlijnen die de consument beogen te beschermen, bevatten informatieplichten. Een van deze richtlijnen is de Richtlijn consumentenrechten (2011/83/EU). Op grond daarvan zijn ondernemers verplicht aan consumenten informatie te verstrekken als zij een overeenkomst sluiten in een fysieke winkel, buiten een verkoopruimte of op afstand. Evenals andere richtlijnen uit het consumentenacquis laat de Richtlijn consumentenrechten de sanctionering van een schending van deze informatieplichten grotendeels over aan de lidstaten. In dit onderzoek wordt nagegaan hoe de sanctionering van deze informatieplichten eruitziet in Duitsland, Engeland en Nederland. Dit gebeurt aan de hand van de volgende vraag: hoe wordt een schending van informatieplichten uit de Richtlijn consumentenrechten in Duitsland, Engeland en Nederland gesanctioneerd en wie hanteren deze sancties en waarom zij? Deze vraag wordt beantwoord aan de hand van drie delen. In deel I van dit onderzoek wordt stilgestaan bij de informatieplichten uit de Richtlijn consumentenrechten en hun doel. In deel II wordt ingegaan op de sancties die kunnen worden toegepast in de drie rechtsstelsels bij een schending van een informatieplicht en wordt ingegaan op degenen die ze hanteren. In deel III wordt bekeken welke keuzes in Duitsland, Engeland en Nederland zijn gemaakt bij de sanctionering van oneerlijke handelspraktijken en de handhaving van het consumentenrecht. Leonieke Tigelaar (1988) heeft in 2009 haar bachelor Nederlands recht (cum laude) en in 2011 haar master Nederlands recht (Togamaster, specialisatie Privaatrecht) behaald aan de Rijksuniversiteit Groningen. Zij is als universitair docent verbonden aan de Rijksuniversiteit.","","","Sanctionering van informatieplichten uit de Richtlijn consumentenrechten","08-06-2017","24-12-2020","Gewijzigd"
"Niessen, S.","gereed","","","9789462511491","9789462511491","2017","","Paris","","337","","Zutphen","61.01","Final","","822","Privaatrecht","","","The legal position of the terminal operator changes by the integration of the carriage of goods between the sea port and the hinterland into his service profile. The terminal operator performs a wide variety of obligations, including loading and discharging, stacking, warehousing, measuring, weighing and carrying goods within and beyond the terminal's premises. These obligations fall into different categories of contracts for which the law provides specific rules, i.e. a contract of carriage, a contract of deposit and a service contract. Some of these obligations might be subject to mandatory provisions derived from applicable national legal systems or uniform private law conventions. This book examines how to determine the applicable rules to the terminal operator's mixed contracts. This serves a practical purpose as one of themain differences between the applicable legal regimes is the terminal operator's liabilities towards third parties such as cargo owners or ship owners who do not have a contractual relation with the terminal operator. Susan Niessen is a Ph.D.-candidate at the Erasmus School of Law of the Erasmus University Rotterdam and a law clerk of the Supreme Court of the Netherlands","23","NTHR-Reeks","The Legal Position of Terminal Operators in Hinterland Networks","21-12-2017","24-12-2020","Gewijzigd"
"Labohm, A.N.|Veerman, W.T.M.|Zanden, P.M. van der","gereed","","","9789462511330","9789462511330","2017","","Paris","","189","In de juridische praktijk","Zutphen","41.28","Final","","827","Ondernemingsrecht","","","Waardering van ondernemingen komt in het economisch verkeer vaak voor, zoals in geval van fusies en overnames, echtscheidingen, erfenissen en dergelijke. Voor de waardebepaling worden vaak deskundigen zoals register valuators, accountants en bedrijfseconomen ingeschakeld. Indien in het kader van de waardering geschillen ontstaan komen er in het kader van de geschillenbeslechting veelal juristen aan te pas. De praktijk leert dat de communicatie over de juridische betekenis van de waarderingen de daarbij gebruikte informatie en gehanteerde berekeningsmethode tussen de juristen en de ingeschakelde deskundigen vaak moeizaam verloopt. Dit boek probeert een grondslag te bieden om de communicatie over waardering van ondernemingen tussen juristen en de deskundigen te verbeteren door enerzijds de theoretische (bedrijfseconomische en juridische) achtergronden te schetsen alsmede de meest gebruikte waarderingsmethoden toe te lichten en anderzijds op basis van de jurisprudentie en de ervaring van de auteurs in hun verschillende rollen de bestaande praktijk globaal te bespreken. Het boek beoogt nadrukkelijk niet een leidraad te zijn voor het zelfstandig uitvoeren van waarderingen. Prof. dr. mr. P.M. van der Zanden RA is raadsheer-plaatsvervanger Hof Den Haag en College van Beroep voor het bedrijfsleven, oud-partner EY Accountants, emeritus hoogleraar bedrijfseconomie Tilburg University.","","","Waardering van ondernemingen","31-05-2017","24-12-2020","Gewijzigd"
"Drongelen, J. van|Hofsteenge, J.A.","gereed","4","","9789462511613","9789462511613","2018","","Paris","","121","De Arbowet geschetst","Zutphen","32.55","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Wat zijn de belangrijkste arboverplichtingen van werkgever en werknemers? Aan welke eisen moet de arbocatalogus voldoen? Mag de Inspectie SZW zomaar mijn bedrijf binnenstappen? De Arbowet geschetst biedt u een makkelijke toegang tot de Arbeidsomstandighedenwet (Arbowet). In de ondernemingsraad, op de werkvloer of bij het opstellen van de arbocatalogus: door de compacte en overzichtelijke weergave van de wet heeft u in elke situatie snel de juiste tekst met een heldere toelichting bij de hand. Mr. dr. J. van Drongelen is universitair hoofddocent Sociaal Recht en Sociale Politiek Universiteit van Tilburg. Mr. J.A. Hofsteenge is coördinerend wetgevingsjurist bij de directie Wetgeving, Bestuurlijke en Juridische Aangelegenheden van het Ministerie van Sociale Zaken en Werkgelegenheid. Deze directie is onder meer verantwoordelijk voor de wetgeving op het terrein van de arbeidsomstandigheden.","5","Arbeidsomstandighedenrecht","Arbeidsomstandighedenrecht deel 5 ","25-01-2018","24-12-2020","Gewijzigd"
"Drongelen, J. van (red.)","gereed","","","9789462511866","9789462511866","2018","","Paris","","123","Parlementaire geschiedenis arbeidsrecht deel 8","Zutphen","34.86","Final","","825","Arbeids- en sociale zekerheidsrecht","","","De arbeidsmarkt verandert en de duurzame inzetbaarheid van de beroepsbevolking wordt van steeds groter belang. Tegen die achtergrond is de Arbeidsomstandighedenwet aangepast met in het bijzonder een wijziging met betrekking tot de betrokkenheid van werkgevers en werknemers bij de arbodienstverlening, de preventie in het bedrijf, en de randvoorwaarden voor het handelen van de bedrijfsarts. De bedrijfsgezondheidszorg, als onderdeel van de arbodienstverlening, speelt een rol bij de bevordering van de arbeidsparticipatie van werknemers en het beschermen van hun gezondheid. Het draagt bij aan de beheersing van het verzuim door ziekte en de instroom in arbeidsongeschiktheidsregelingen. Ook is van de gelegenheid gebruikgemaakt om enkele technische wijzigingen in de Arbeidsomstandighedenwet aan te brengen. Dit boek behandelt de parlementaire geschiedenis van deze wijzigingswet. Een wijziging in een wettelijk voorschrift wordt (waar nodig) voorafgegaan door de oude (te wijzigen) wettekst. Het wijzigingsonderdeel sluit af met het wettelijk voorschrift waarin de wijzigingen zijn aangebracht. Van de mondelinge behandeling van het voorstel van wet is alleen datgene opgenomen dat iets toevoegt in vergelijking met de schriftelijke behandeling van het voorstel van wet. In de marge is aangegeven welk onderdeel van de parlementaire behandeling aan de orde is. Met de margetekst ‘VvW/wettekst’ is aangegeven dat het voorstel van wet geen wijziging heeft ondergaan.","","Parlementaire geschiedenis arbeidsrecht","Arbeidsomstandighedenwet","24-08-2018","24-12-2020","Gewijzigd"
"Drongelen, J. van","gereed","","","9789462511903","9789462511903","2018","","Paris","","92","Over fouten van, onbegrip over en misverstanden bij, misleiding door en andere misstappen van de wetgever. Oftewel. Waar is het recht in het arbeidsrecht gebleven?","Zutphen","15.60","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Ideeën over wetgeving veranderen in de loop der tijd en in de jaren zeventig en tachtig van de vorige eeuw komt het verschijnsel dereguleren op. In een reeks beleidsnota’s en actieprogramma’s wordt gewerkt aan wat wordt genoemd wetgevingskwaliteitsbeleid, met het oogmerk wetgeving te realiseren die de overheid beter zal ondersteunen. Dat maakt dat degenen die beroepshalve met wetgeving bezig zijn – opstellen, uitvoeren, interpreteren, toepassen en handhaven – wetgeving in eerste instantie zien als hulpmiddel voor het bestuur. Of de burger daaraan iets heeft, is minder van belang. Dat maakt dat wetgeving tegenwoordig niets meer of minder is dan een beleidsinstrument, dat wordt ingezet om een doel te bereiken. Bij wetgevingskwaliteitsbeleid staat de legitimiteit van de wetgeving centraal. De discussies zijn verstomd en de prioriteit bij de ‘ambtelijke wetgevers’ ligt niet meer bij de kwaliteit van de wetgeving. Bij wetgevingskwaliteit gaat het om de kwaliteit van de wetgeving, de normstelling zelf en de argumentatie en redeneringen die de wetgever in dat kader als motivering en verduidelijking geeft. Dit boek laat zien wat er de afgelopen tien tot vijftien jaar allemaal is misgegaan bij de arbeidswetgeving en dat het behoorlijk schort aan de kwaliteit van die wetgeving. Ook blijkt dat het niet gaat om een incident, maar dat er structureel iets mis is met die kwaliteit van de wetgeving en wel dusdanig dat de vraag is gerechtvaardigd naar waar het recht is gebleven in het arbeidsrecht.","","","Bij wijze van afscheid","07-09-2018","24-12-2020","Gewijzigd"
"Chao-Duijvis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511651","9789462511651","2018","","Paris","","209","Met een bijzonder voorwoord van mr. L. Mundt","Zutphen","70.64","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 1 worden behandeld: Algemene inleiding, De oplevering, De onderhoudsperiode, Herstel en schadevergoeding, Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof 's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","1","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 1 (nieuwe opzet)","29-03-2018","24-12-2020","Gewijzigd"
"Chao-Duijvis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511705","9789462511705","2018","","Paris","","227","Met een bijzonder voorwoord van mr. L. Mundt","Zutphen","70.64","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 2 worden behandeld: Aansprakelijkheid na oplevering, Garanties. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof 's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","2","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 2 (nieuwe opzet)","29-03-2018","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511897","9789462511897","2018","","Paris","","189","Met een bijzonder voorwoord van mr. B.C.M. Den Teuling","Zutphen","66.51","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 3 worden behandeld: Aanvang en uitvoeringsduur van het werk, Bouwtijdverlenging. De inhoud van de delen in de nieuwe opzet (delen 1 tot en met 24) is achter in het boek opgenomen. Met een bijzonder voorwoord van mr. B.C.M. Den Teuling.","3","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 3 (nieuwe opzet)","18-09-2018","24-12-2020","Gewijzigd"
"Chao-Duivis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511880","9789462511880","2018","","Paris","","221","Met een bijzonder voorwoord van mr. B.C.M. Den Teuling","Zutphen","70.64","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 4 worden behandeld: Rechten van aannemer en opdrachtgever bij vertraging, Vertragingsschade. De inhoud van de delen in de nieuwe opzet (delen 1 tot en met 24) is achter in het boek opgenomen. Met een bijzonder voorwoord van mr. B.C.M. Den Teuling.","4","Serie Bouw- en Aanbestedingsrecht (serie)","Bouwrecht deel 4 (nieuwe opzet)","18-09-2018","24-12-2020","Gewijzigd"
"Hall, S.E. van|Hendrikse, M.L.|Margetson, N.J.|Teuling, H.P.D. den|Vries, G.J.P. de","gereed","2","","9789462511576","9789462511576","2018","","Paris","","301","","Zutphen","49.08","Final","","822","Privaatrecht","","","De internationale handel is voor de Nederlandse economie van eminent belang. Opvallend in dat perspectief is dat er relatief weinig Nederlandstalige naslagwerken zijn over de juridische aspecten van internationale handel. Onderhavig boek wil in die lacune voorzien. Uitgangspunt van het onderhavige boek is het combineren van wetenschappelijke diepgang met oog voor de praktische toepasbaarheid. De auteurs haasten zich er bij te zeggen dat de toegankelijkheid van het boek evenwel ook meebrengt dat niet alles in extenso kan worden behandeld en er een keuze is gemaakt in de te behandelen onderwerpen. In het kader van dit laatste is dan ook gekozen voor de titel Capita Internationaal Handelsrecht. In het internationaal handelsrecht wordt veel gebruikgemaakt van internationale regelgeving zoals verdragen. Verdragen dienen in beginsel uniform uitgelegd en uniform toegepast te worden. Het kennisnemen van buitenlandse uitspraken en buitenlandse literatuur wordt daarmee voor de Nederlandse rechter, advocaat en bedrijfsjurist in het kader van IHR-regelgeving belangrijk. In dit boek komen de buitenlandse rechtsbronnen dan ook ruimschoots aan de orde.","19","NTHR-Reeks","Capita Internationaal Handelsrecht","11-01-2018","24-12-2020","Gewijzigd"
